"assembly_accession","taxid","organism_name","assembly_level","release_type","genome_rep","seq_rel_date","asm_name","submitter","gbrs_paired_asm","paired_asm_comp","ftp_path","excluded_from_refseq","relation_to_type_material","asm_not_live_date","superkingdom","phylum","class","order","family","genus","assembly_id","b_complete","b_complete_and_single_copy","b_complete_and_duplicated","b_fragmented","b_missing","b_total_groups_searched","genome_size","global_cg_oe","global_cg_dens","dist_from_zeb_lca","mean_lifespan","mae_lifespan","mre_lifespan","sd_lifespan","max_lifespan","n_reported_values"
"GCA_000523025.1",244447,"Cynoglossus semilaevis","Chromosome","Major","Full","2014/01/28","Cse_v1.0","Beijing Genomics Institute ","GCF_000523025.1","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/523/025/GCA_000523025.1_Cse_v1.0","",NA,"na","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cynoglossidae","Cynoglossus","GCA_000523025.1_Cse_v1.0",95.6,94.4,1.2,1,3.4,3640,470182763,0.519384785406238,0.0194624893129058,460.8,11.5,1.5,13.0434782608696,2.12132034355964,13,2
"GCA_000633615.2",8081,"Poecilia reticulata","Chromosome","Major","Full","2014/04/28","Guppy_female_1.0+MT","Max Planck Institute for Developmental Biology","GCF_000633615.1","identical","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/633/615/GCA_000633615.2_Guppy_female_1.0_MT","",NA,"na","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Poecilia","GCA_000633615.2_Guppy_female_1.0_MT",95.3,94.5,0.8,1.1,3.6,3640,731622281,0.53658413066563,0.0170999029484177,460.8,3.66666666666667,1.11111111111111,30.3030303030303,1.52752523165195,5,3
"GCA_000697985.1",206143,"Pampus argenteus","Scaffold","Major","Full","2014/06/03","PamArg1.0","Kuwait Institute for Scientific Research (KISR)","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/697/985/GCA_000697985.1_PamArg1.0","",NA,"na","Eukaryota","Chordata","Actinopteri","Scombriformes","Stromateidae","Pampus","GCA_000697985.1_PamArg1.0",8.4,8.2,0.2,13.3,78.3,3640,350448509,0.344355909909917,0.012570400178247,460.8,7,0,0,0,7,2
"GCA_000732505.1",28743,"Cyprinodon variegatus","Scaffold","Major","Full","2014/07/22","C_variegatus-1.0","Aquatic Genome Models","GCF_000732505.1","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/732/505/GCA_000732505.1_C_variegatus-1.0","",NA,"na","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Cyprinodontidae","Cyprinodon","GCA_000732505.1_C_variegatus-1.0",94.6,93.1,1.5,1.2,4.2,3640,1035167975,0.443705291324441,0.0122178914972713,460.79999999,3,2,66.6666666666667,2.82842712474619,5,2
"GCA_000735185.1",8208,"Notothenia coriiceps","Scaffold","Major","Full","2014/07/29","NC01","Antarctic Fish Genome Project","GCF_000735185.1","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/735/185/GCA_000735185.1_NC01","",NA,"na","Eukaryota","Chordata","Actinopteri","Perciformes","Nototheniidae","Notothenia","GCA_000735185.1_NC01",78.5,78,0.5,11.7,9.8,3640,636595335,0.512304947637772,0.0202619093964928,460.8,12.5,5.5,44,7.77817459305202,18,2
"GCA_000787555.1",245875,"Pseudopleuronectes yokohamae","Contig","Major","Full","2014/11/24","Pyoko_1.0","Tohoku university","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/787/555/GCA_000787555.1_Pyoko_1.0","",NA,"na","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","GCA_000787555.1_Pyoko_1.0",33.4,33,0.4,23.1,43.5,3640,547831023,0.491158878732147,0.0216219408954502,460.8,10,0,0,NA,10,1
"GCA_000788275.1",150288,"Boleophthalmus pectinirostris","Scaffold","Major","Full","2014/12/02","BP.fa","BGI-shenzhen","GCF_000788275.1","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/788/275/GCA_000788275.1_BP.fa","",NA,"na","Eukaryota","Chordata","Actinopteri","Gobiiformes","Gobiidae","Boleophthalmus","GCA_000788275.1_BP.fa",94.5,93.5,1,1.2,4.3,3640,955735039,0.514122516683683,0.0173790771732917,460.8,4,0,0,0,4,2
"GCA_000972845.2",215358,"Larimichthys crocea","Chromosome","Major","Full","2018/11/27","L_crocea_2.0","BGI","GCF_000972845.2","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/972/845/GCA_000972845.2_L_crocea_2.0","",NA,"na","Eukaryota","Chordata","Actinopteri","Unknown","Sciaenidae","Larimichthys","GCA_000972845.2_L_crocea_2.0",97.7,96.8,0.9,0.4,1.9,3640,657939568,0.454234622077388,0.0192753781909648,460.8,14.25,5.25,36.8421052631579,6.23832242407097,21,4
"GCA_001403095.1",263744,"Squalius pyrenaicus","Contig","Major","Partial","2015/07/08","pp_cds_nonRedudant","Centre for Ecology, Evolution and Environmental Changes (cE3c)","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/403/095/GCA_001403095.1_pp_cds_nonRedudant","partial",NA,"na","Eukaryota","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Squalius","GCA_001403095.1_pp_cds_nonRedudant",83.3,77.2,6.1,2.7,14,3640,48139320,0.55344397143073,0.036040143483539,137.188,7,0,0,0,7,2
"GCA_001443285.1",48699,"Poecilia latipinna","Scaffold","Major","Full","2015/11/13","P_latipinna-1.0","The Genome Institute at Washington University School of Medicine (WUGSC)","GCF_001443285.1","identical","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/443/285/GCA_001443285.1_P_latipinna-1.0","",NA,"na","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Poecilia","GCA_001443285.1_P_latipinna-1.0",94.9,92.1,2.8,1.4,3.7,3640,815144743,0.570209562156063,0.0152181917463461,460.8,3,1.33333333333333,44.4444444444444,2,5,3
"GCA_001443325.1",48701,"Poecilia mexicana","Scaffold","Major","Full","2015/11/13","P_mexicana-1.0","The Genome Institute at Washington University School of Medicine (WUGSC)","GCF_001443325.1","identical","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/443/325/GCA_001443325.1_P_mexicana-1.0","",NA,"na","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Poecilia","GCA_001443325.1_P_mexicana-1.0",95.4,92.3,3.1,1.1,3.5,3640,801711499,0.560820542806999,0.0155168411773024,460.8,3,1.33333333333333,44.4444444444444,2,5,3
"GCA_001465895.2",105023,"Nothobranchius furzeri","Chromosome","Major","Full","2015/12/11","Nfu_20140520","LEIBNIZ INSTITUTE FOR AGE RESEARCH - FRITZ LIPMANN","GCF_001465895.1","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/465/895/GCA_001465895.2_Nfu_20140520","",NA,"na","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Nothobranchiidae","Nothobranchius","GCA_001465895.2_Nfu_20140520",95.4,94.6,0.8,1,3.6,3640,1242498532,0.736175810196313,0.0158132468521902,460.8,0.57333333492279,0.351111110051473,61.2403097229218,0.464901422584823,1.1,3
"GCA_001593715.1",240162,"Miichthys miiuy","Scaffold","Major","Full","2016/03/17","ASM159371v1","Zhejiang Ocean University","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/593/715/GCA_001593715.1_ASM159371v1","",NA,"na","Eukaryota","Chordata","Actinopteri","Unknown","Sciaenidae","Miichthys","GCA_001593715.1_ASM159371v1",90.4,87.5,2.9,2.1,7.5,3640,619300777,0.43773577819622,0.0168984625704741,460.8,6,0,0,NA,6,1
"GCA_001640805.2",8187,"Lates calcarifer","Chromosome","Major","Full","2022/08/01","TLL_Latcal_v3","Temasek Life Sciences Laboratory","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/640/805/GCA_001640805.2_TLL_Latcal_v3","",NA,"na","Eukaryota","Chordata","Actinopteri","Unknown","Centropomidae","Lates","GCA_001640805.2_TLL_Latcal_v3",NA,NA,NA,NA,NA,NA,NA,NA,NA,460.8,21.6666666666667,11.1111111111111,51.2820512820513,15.2752523165195,35,3
"GCA_001649575.2",37003,"Kryptolebias marmoratus","Chromosome","Major","Full","2020/11/16","ASM164957v2","Washington State University","GCF_001649575.2","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/649/575/GCA_001649575.2_ASM164957v2","",NA,"na","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Rivulidae","Kryptolebias","GCA_001649575.2_ASM164957v2",97.2,96.4,0.8,0.5,2.3,3640,680638340,0.477499436688108,0.0170035749088128,460.8,5,0,0,NA,5,1
"GCA_001660625.2",7998,"Ictalurus punctatus","Chromosome","Major","Full","2019/01/25","IpCoco_1.2","Auburn University","GCF_001660625.2","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/660/625/GCA_001660625.2_IpCoco_1.2","",NA,"na","Eukaryota","Chordata","Actinopteri","Siluriformes","Ictaluridae","Ictalurus","GCA_001660625.2_IpCoco_1.2",95.9,91.5,4.4,0.7,3.4,3640,821751792,0.508739283319888,0.0194741881378215,284.22322,17.4375,6.6171875,37.9480286738351,7.59797122044212,30,16
"GCA_001698575.1",94237,"Mola mola","Scaffold","Major","Full","2016/08/08","ASM169857v1","BGI-shenzhen","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/698/575/GCA_001698575.1_ASM169857v1","",NA,"na","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Molidae","Mola","GCA_001698575.1_ASM169857v1",95.5,94.1,1.4,0.9,3.6,3640,639451992,0.465496096135545,0.0188699279241592,460.8,8,0,0,NA,8,1
"GCA_001858045.3",8128,"Oreochromis niloticus","Chromosome","Major","Full","2018/06/29","O_niloticus_UMD_NMBU","University of Maryland","GCF_001858045.2","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/858/045/GCA_001858045.3_O_niloticus_UMD_NMBU","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Oreochromis","GCA_001858045.3_O_niloticus_UMD_NMBU",97.2,96.4,0.8,0.4,2.4,3640,1005664923,0.41627774266465,0.0172656892001393,460.8,12.7249999046326,2.38750004768371,18.7622794937274,3.52774716651355,20,8
"GCA_001891065.2",109280,"Hippocampus comes","Scaffold","Minor","Full","2016/12/08","H_comes_QL1_v1.1","South China Sea Institute of Oceanology, Chinese Academy of Sciences","GCF_001891065.2","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/891/065/GCA_001891065.2_H_comes_QL1_v1.1","",NA,"na","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Hippocampus","GCA_001891065.2_H_comes_QL1_v1.1",95.3,94.1,1.2,0.7,4,3640,492114877,0.771817805821371,0.031332753226235,460.80000001,3,0.4,13.3333333333333,0.519615242270663,3.6,3
"GCA_001952655.1",43700,"Monopterus albus","Scaffold","Major","Full","2017/01/17","M_albus_1.0","Wuhan University","GCF_001952655.1","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/952/655/GCA_001952655.1_M_albus_1.0","",NA,"na","Eukaryota","Chordata","Actinopteri","Synbranchiformes","Synbranchidae","Monopterus","GCA_001952655.1_M_albus_1.0",95.7,95,0.7,1.1,3.2,3640,684127526,0.33193023290914,0.0117425007687821,460.8,9,1.5,16.6666666666667,2.16024689946929,12,4
"GCA_001970005.2",8255,"Paralichthys olivaceus","Scaffold","Major","Full","2017/01/24","Flounder_ref_guided_V1.0","Tsinghua University","GCF_001970005.1","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/970/005/GCA_001970005.2_Flounder_ref_guided_V1.0","",NA,"na","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Paralichthys","GCA_001970005.2_Flounder_ref_guided_V1.0",93.4,92,1.4,2.4,4.2,3640,643910695,0.544568045254174,0.0154968104699674,460.8,12.5,0.5,4,0.707106781186548,13,2
"GCA_002021735.2",8019,"Oncorhynchus kisutch","Chromosome","Major","Full","2019/11/04","Okis_V2","University of Victoria","GCF_002021735.2","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/021/735/GCA_002021735.2_Okis_V2","",NA,"na","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","GCA_002021735.2_Okis_V2",96.4,60.9,35.5,0.5,3.1,3640,2375911594,0.349318330163946,0.0165533701251007,460.8,4.51666666666667,0.483333333333333,10.7011070110701,0.530722777603022,5,6
"GCA_002109545.1",80966,"Acanthochromis polyacanthus","Scaffold","Major","Full","2017/04/25","ASM210954v1","King Abdullah University of Science and technology","GCF_002109545.1","identical","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/109/545/GCA_002109545.1_ASM210954v1","",NA,"na","Eukaryota","Chordata","Actinopteri","Unknown","Pomacentridae","Acanthochromis","GCA_002109545.1_ASM210954v1",95.5,93.2,2.3,1.3,3.2,3640,991584656,0.494707233215507,0.0143025952591989,460.80000001,9.33333333333333,0.888888888888889,9.52380952380952,1.15470053837925,10,3
"GCA_002120245.1",135761,"Maccullochella peelii","Scaffold","Major","Full","2017/05/09","mcod_v1","Monash University Malaysia","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/120/245/GCA_002120245.1_mcod_v1","",NA,"na","Eukaryota","Chordata","Actinopteri","Centrarchiformes","Percichthyidae","Maccullochella","GCA_002120245.1_mcod_v1",93.1,92.2,0.9,3.3,3.6,3640,633241041,0.377507241687748,0.0154158043587702,460.8,48.1999994913737,0.266665988498268,0.553248944631198,0.346409280547182,48.5999984741211,3
"GCA_002234675.1",8090,"Oryzias latipes","Chromosome","Major","Full","2017/07/27","ASM223467v1","The University of Tokyo","GCF_002234675.1","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/234/675/GCA_002234675.1_ASM223467v1","",NA,"na","Eukaryota","Chordata","Actinopteri","Beloniformes","Adrianichthyidae","Oryzias","GCA_002234675.1_ASM223467v1",96,95.3,0.7,0.5,3.5,3640,734040372,0.486502505399884,0.0202623569048052,460.8,5.66666666666667,1.55555555555556,27.4509803921569,2.08166599946613,8,3
"GCA_002260705.1",41447,"Seriola dumerili","Scaffold","Major","Full","2017/08/03","Sdu_1.0","Genomic breeding group, Research Center for Aquatic Breeding, National Research Institute of aquaculture, FRA","GCF_002260705.1","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/260/705/GCA_002260705.1_Sdu_1.0","",NA,"na","Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Seriola","GCA_002260705.1_Sdu_1.0",97.4,96.6,0.8,0.4,2.2,3640,677669644,0.390181199389937,0.0160194928253271,460.8,13.25,2.91666666666667,22.0125786163522,4.28660704987056,15,6
"GCA_002592385.1",225391,"Micropterus floridanus","Contig","Major","Full","2017/10/19","ASM259238v1","Auburn University","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/592/385/GCA_002592385.1_ASM259238v1","",NA,"na","Eukaryota","Chordata","Actinopteri","Centrarchiformes","Centrarchidae","Micropterus","GCA_002592385.1_ASM259238v1",70.3,69,1.3,15.5,14.2,3640,1001521525,0.407575384602488,0.0168818797978406,460.8,17,0,0,NA,17,1
"GCA_002775205.2",8083,"Xiphophorus maculatus","Chromosome","Major","Full","2017/12/07","X_maculatus-5.0-male","The Genome Institute, Washington University at St. Louis","GCF_002775205.1","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/775/205/GCA_002775205.2_X_maculatus-5.0-male","",NA,"na","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Xiphophorus","GCA_002775205.2_X_maculatus-5.0-male",96.9,96.1,0.8,0.5,2.6,3640,704304519,0.461025633276835,0.0173409834390116,460.8,3.2,1.24,38.75,1.60468065358812,5,5
"GCA_002776465.1",80972,"Amphiprion ocellaris","Scaffold","Major","Full","2017/11/16","AmpOce1.0","Deakin University","GCF_002776465.1","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/776/465/GCA_002776465.1_AmpOce1.0","",NA,"na","Eukaryota","Chordata","Actinopteri","Unknown","Pomacentridae","Amphiprion","GCA_002776465.1_AmpOce1.0",95.7,93.7,2,1,3.3,3640,880704246,0.392821914272525,0.0152804089013101,460.8,16,4,25,5.65685424949238,20,2
"GCA_002819105.1",171736,"Symphodus melops","Contig","Major","Full","2017/12/05","ASM281910v1","University of Agder","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/819/105/GCA_002819105.1_ASM281910v1","",NA,"na","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Symphodus","GCA_002819105.1_ASM281910v1",93.7,91.1,2.6,1.4,4.9,3640,614569099,0.469121173125022,0.0203126890374291,460.8,9,0,0,0,9,3
"GCA_002895965.2",163118,"Coryphaenoides rupestris","Scaffold","Major","Full","2021/06/29","CRUPv2","Centre for Genomic Research","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/895/965/GCA_002895965.2_CRUPv2","",NA,"na","Eukaryota","Chordata","Actinopteri","Gadiformes","Macrouridae","Coryphaenoides","GCA_002895965.2_CRUPv2",86.8,82.3,4.5,2.4,10.8,3640,838180449,0.633042593528115,0.0323205176550235,460.8,53.8333333333333,2.22222222222222,4.12796697626419,3.48807492274273,60,6
"GCA_002897255.1",143350,"Pagrus major","Scaffold","Major","Full","2017/12/28","Pmaj_1.0","Center for Marine Environmental Studies, Ehime University","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/897/255/GCA_002897255.1_Pmaj_1.0","",NA,"na","Eukaryota","Chordata","Actinopteri","Spariformes","Sparidae","Pagrus","GCA_002897255.1_Pmaj_1.0",45,44.6,0.4,18.1,36.9,3640,875465402,0.466994069850302,0.0168524729432997,460.8,16.6,5.12,30.8433734939759,6.6932802122726,26,5
"GCA_003054885.1",302047,"Seriola lalandi","Scaffold","Major","Full","2018/04/17","wag_ytk_001","Wageningen University","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/054/885/GCA_003054885.1_wag_ytk_001","",NA,"na","Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Seriola","GCA_003054885.1_wag_ytk_001",92,91,1,3,5,3640,766364468,0.48568500153885,0.0130713745460339,460.8,13.0833333333333,4.61111111111111,35.244161358811,6.4436661407411,20,3
"GCA_003231725.1",8237,"Thunnus thynnus","Scaffold","Major","Full","2018/06/15","GBYP_Tthy_1.0","Alessia Cariani's shared submissions","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/231/725/GCA_003231725.1_GBYP_Tthy_1.0","",NA,"na","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Thunnus","GCA_003231725.1_GBYP_Tthy_1.0",34.9,34.2,0.7,23.3,41.8,3640,648208697,0.351955788340365,0.0135790572399555,460.8,18.8,6.16,32.7659574468085,8.10760959428445,32,10
"GCA_003317085.1",62062,"Hucho hucho","Scaffold","Major","Full","2018/07/13","ASM331708v1","University Of Aberdeen","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/317/085/GCA_003317085.1_ASM331708v1","",NA,"na","Eukaryota","Chordata","Actinopteri","Salmoniformes","Salmonidae","Hucho","GCA_003317085.1_ASM331708v1",89.6,57.8,31.8,3,7.4,3640,2487549814,0.523323613134581,0.0141485355597385,460.8,18.3333333333333,2.22222222222222,12.1212121212121,2.88675134594813,20,3
"GCA_003331165.2",8084,"Xiphophorus hellerii","Chromosome","Major","Full","2019/12/05","Xiphophorus_hellerii-4.1","McDonnell Genome Institute - Washington University School of Medicine","GCF_003331165.1","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/331/165/GCA_003331165.2_Xiphophorus_hellerii-4.1","",NA,"na","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Poeciliidae","Xiphophorus","GCA_003331165.2_Xiphophorus_hellerii-4.1",96.5,95,1.5,0.6,2.9,3640,732889490,0.466566222441382,0.0177161730072019,460.8,3,1.33333333333333,44.4444444444444,2,5,3
"GCA_003347165.1",2066578,"Ageneiosus marmoratus","Scaffold","Major","Full","2018/07/31","ASM334716v1","Auburn University","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/347/165/GCA_003347165.1_ASM334716v1","",NA,"na","Eukaryota","Chordata","Actinopteri","Siluriformes","Auchenipteridae","Ageneiosus","GCA_003347165.1_ASM334716v1",70.5,69.3,1.2,6.4,23.1,3640,1030000983,0.49163480253791,0.00860937722037106,NA,11.5,3.5,30.4347826086957,4.94974746830583,15,2
"GCA_003368295.1",7957,"Carassius auratus","Chromosome","Major","Full","2018/08/09","ASM336829v1","National Institutes of Health","GCF_003368295.1","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/368/295/GCA_003368295.1_ASM336829v1","",NA,"na","Eukaryota","Chordata","Actinopteri","Cypriniformes","Cyprinidae","Carassius","GCA_003368295.1_ASM336829v1",97,45.8,51.2,0.3,2.7,3640,1820635051,0.50132046547633,0.0176028886087836,173.838,30.5555555555556,7.95061728395062,26.020202020202,10.9214366169372,41,9
